"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "PostCSS", "Java Properties", "XML", "HTML", "Java", "Batch", "comment", "blank", "total"
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Chef.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Despachador.jsx", "JavaScript JSX", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 10, 54, 366
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Error.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Inicio.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Menu.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\src\pages\Productos.jsx", "JavaScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 5, 26, 164
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\ProyectoSoftware\pk_pizza\proyecto\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 46, 9, 4281, 989, 119, 4, 57, 13, 459, 139, 81, 377, 6574
